game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name
300820019,2010,2,2010-08-20,2010-08-21T00:30:00Z,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,home,71,False,18,5,25,44.9,31,69,0,15,50.0,4,8,6,6,2,0,27.8,5,18,31,0,11,9,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun
300820017,2010,2,2010-08-20,2010-08-21T00:00:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,away,61,False,11,4,19,36.4,24,66,0,16,71.4,10,14,13,8,1,0,23.1,3,13,32,0,12,11,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300820017,2010,2,2010-08-20,2010-08-21T00:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,home,75,True,19,1,26,49.1,28,57,0,11,82.4,14,17,7,7,4,0,26.3,5,19,33,0,11,7,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever
300820016,2010,2,2010-08-20,2010-08-20T23:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,away,74,False,14,4,11,42.6,26,61,0,18,86.4,19,22,14,9,0,0,33.3,3,9,25,0,15,15,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
300820016,2010,2,2010-08-20,2010-08-20T23:00:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,home,75,True,7,6,15,55.8,29,52,0,24,73.7,14,19,8,9,1,0,50.0,3,6,23,0,15,14,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300819009,2010,2,2010-08-19,2010-08-19T23:30:00Z,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock,away,85,False,15,5,21,44.1,30,68,0,11,86.4,19,22,11,6,1,0,37.5,6,16,32,0,11,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300819009,2010,2,2010-08-19,2010-08-19T23:30:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,home,95,True,25,3,24,50.7,35,69,0,15,86.7,13,15,6,6,0,0,46.2,12,26,30,0,12,12,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock
300817006,2010,2,2010-08-17,2010-08-18T02:30:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,away,90,True,22,6,33,45.1,32,71,0,17,87.0,20,23,11,4,0,0,37.5,6,16,44,0,16,16,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks
300817006,2010,2,2010-08-17,2010-08-18T02:30:00Z,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,home,84,False,16,1,27,40.5,32,79,0,20,87.5,14,16,6,11,0,0,22.2,6,27,33,0,8,8,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300817014,2010,2,2010-08-17,2010-08-18T02:00:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,64,False,8,4,24,29.0,20,69,0,20,85.2,23,27,14,11,0,0,8.3,1,12,38,0,12,12,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300817014,2010,2,2010-08-17,2010-08-18T02:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,home,68,True,15,2,32,39.3,24,61,0,25,66.7,14,21,11,7,1,0,42.9,6,14,43,0,18,17,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
300817017,2010,2,2010-08-17,2010-08-18T00:00:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,away,76,True,17,2,24,51.9,27,52,0,23,78.3,18,23,7,6,1,0,36.4,4,11,31,0,19,18,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300817017,2010,2,2010-08-17,2010-08-18T00:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,home,66,False,14,1,15,46.4,26,56,0,19,72.2,13,18,7,8,1,0,14.3,1,7,22,0,11,10,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
300817009,2010,2,2010-08-17,2010-08-17T23:30:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,away,57,False,10,5,16,38.8,19,49,0,19,80.0,12,15,5,2,1,0,41.2,7,17,21,0,17,16,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300817009,2010,2,2010-08-17,2010-08-17T23:30:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,home,78,True,19,1,20,49.2,31,63,0,19,100.0,10,10,12,8,0,0,40.0,6,15,32,0,14,14,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever
300817018,2010,2,2010-08-17,2010-08-17T23:30:00Z,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock,away,62,False,9,0,21,28.9,22,76,0,20,65.0,13,20,16,6,0,0,29.4,5,17,37,0,17,17,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun
300817018,2010,2,2010-08-17,2010-08-17T23:30:00Z,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,home,90,True,18,7,32,51.6,32,62,0,22,95.5,21,22,6,9,1,0,27.8,5,18,38,0,16,15,3,s:40~l:59~t:3,tulsa-shock,Tulsa,Shock,TUL,Tulsa Shock,Shock
300817020,2010,2,2010-08-17,2010-08-17T23:00:00Z,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,away,84,True,19,6,25,53.2,33,62,0,16,72.7,16,22,7,11,1,0,16.7,2,12,32,0,17,16,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300817020,2010,2,2010-08-17,2010-08-17T23:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,home,79,False,22,3,20,45.9,34,74,0,15,60.0,9,15,13,9,0,0,15.4,2,13,33,0,17,17,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky
300815008,2010,2,2010-08-15,2010-08-15T23:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,away,78,False,17,3,24,40.4,23,57,0,18,85.2,23,27,3,9,2,0,36.0,9,25,27,0,16,14,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
300815008,2010,2,2010-08-15,2010-08-15T23:00:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,home,84,True,22,1,26,47.7,31,65,0,20,82.6,19,23,9,10,0,0,33.3,3,9,35,0,13,13,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300815018,2010,2,2010-08-15,2010-08-15T21:00:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,away,79,True,26,2,34,51.9,28,54,0,26,77.3,17,22,2,6,1,0,46.2,6,13,36,0,20,19,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun
300815018,2010,2,2010-08-15,2010-08-15T21:00:00Z,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,home,66,False,17,3,22,31.7,20,63,0,21,78.6,22,28,7,9,1,0,18.2,4,22,29,0,13,12,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever
300815016,2010,2,2010-08-15,2010-08-15T20:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,away,71,False,22,4,17,48.1,26,54,0,24,80.0,12,15,8,4,1,0,41.2,7,17,25,0,15,14,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
