game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score,largest_lead,fast_break_points,points_in_paint,turnover_points
260730009,2006,2,2006-07-30,2006-07-30T20:00:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,away,69,False,4,3,24,0.0,21,63,0,20,0.0,22,25,10,5,1,0,26.3,5,19,34,0,15,14,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,78,,,,
260730009,2006,2,2006-07-30,2006-07-30T20:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,home,78,True,17,7,27,0.0,27,61,0,16,0.0,20,25,8,10,2,0,28.6,4,14,35,0,15,13,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,69,,,,
260730018,2006,2,2006-07-30,2006-07-30T20:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,,away,65,False,15,1,29,0.0,26,68,0,18,0.0,11,15,9,4,1,0,15.4,2,13,38,0,11,10,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,72,,,,
260730018,2006,2,2006-07-30,2006-07-30T20:00:00Z,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,home,72,True,15,5,26,0.0,25,64,0,16,0.0,18,21,10,5,1,0,33.3,4,12,36,0,11,10,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,,65,,,,
260729005,2006,2,2006-07-29,2006-07-29T23:00:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,away,74,True,11,5,25,0.0,27,55,0,15,0.0,15,19,7,12,2,0,35.7,5,14,32,0,22,20,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,67,,,,
260729005,2006,2,2006-07-29,2006-07-29T23:00:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,home,67,False,18,0,15,0.0,25,61,0,21,0.0,10,14,9,11,1,0,33.3,7,21,24,0,21,20,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,74,,,,
260729001,2006,2,2006-07-29,2006-07-29T22:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,away,85,True,16,0,19,0.0,27,60,0,27,0.0,23,29,6,6,2,0,42.1,8,19,25,0,12,10,1,s:40~l:59~t:1,charlotte-sting,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,80,,,,
260729001,2006,2,2006-07-29,2006-07-29T22:00:00Z,1,s:40~l:59~t:1,charlotte-sting,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,home,80,False,14,7,28,0.0,24,56,0,25,0.0,26,35,9,3,0,0,37.5,6,16,37,0,17,17,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,85,,,,
260728014,2006,2,2006-07-28,2006-07-29T02:00:00Z,3,s:40~l:59~t:3,detroit-shock,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,,away,77,True,13,6,30,0.0,25,63,0,19,0.0,24,30,11,8,0,0,42.9,3,7,41,0,12,12,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,67,,,,
260728014,2006,2,2006-07-28,2006-07-29T02:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,home,67,False,9,2,24,0.0,25,66,0,21,0.0,14,19,8,8,0,0,21.4,3,14,32,0,14,14,3,s:40~l:59~t:3,detroit-shock,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,,77,,,,
260728019,2006,2,2006-07-28,2006-07-29T00:30:00Z,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,away,65,False,11,2,20,0.0,25,59,0,24,0.0,12,16,11,4,2,0,33.3,3,9,31,0,14,12,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,83,,,,
260728019,2006,2,2006-07-28,2006-07-29T00:30:00Z,19,s:40~l:59~t:19,chicago-sky,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,home,83,True,16,5,23,0.0,28,62,0,16,0.0,19,28,10,8,2,0,44.4,8,18,33,0,8,6,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,65,,,,
